pitch_type,pitch,release_speed,pfx_z,pfx_x,release_spin_rate,release_pos_x,release_pos_z,release_extension,delta_run_exp,swing,whiff,in_zone,out_zone,chase,xwoba,pitch_usage,whiff_rate,in_zone_rate,chase_rate,delta_run_exp_per_100,all
CH,76943.0,85.84706333424313,4.484111202089913,-4.5167533835172975,1785.9304176763335,-0.5593787447524727,5.717125459767874,6.434225474776098,103.35900000000001,38777,12035,30222,46719,15648,0.28371475960813863,0.10222578875135017,0.310364391262862,0.3927842688743615,0.33493867591343995,-0.13433190803581874,
CS,365.0,68.20931506849315,-1.0714520547945205,4.399232876712329,2295.254794520548,-0.1034246575342466,5.679835616438356,5.527671232876712,3.8129999999999997,141,30,182,183,37,0.2873945789473684,0.000484935769260918,0.2127659574468085,0.4986301369863014,0.20218579234972678,-1.0446575342465754,
CU,52977.0,79.71642912427086,-9.957734695033318,4.1922458610990505,2592.9568160332765,-0.7528578709908821,5.943658089970363,6.360143887609048,164.423,21952,6836,23221,29752,8470,0.27690677718944356,0.07038477328256344,0.3114067055393586,0.4383222908054439,0.2846867437483194,-0.31036676293485854,
EP,991.0,49.51321897073663,17.24452068617558,-1.772391523713421,1251.8387434554975,-1.3950050454086782,6.771786074672049,4.3512613521695265,55.232,444,18,381,610,178,0.44842235449735446,0.001316633828322109,0.04054054054054054,0.384460141271443,0.29180327868852457,-5.573360242179617,
FA,901.0,68.44672586015538,14.410255271920088,-7.265260821309656,1711.03,-1.5235405105438402,6.024561598224196,4.733666666666667,40.635,417,28,403,498,121,0.4311395238095238,0.0011970606249427046,0.0671462829736211,0.44728079911209767,0.2429718875502008,-4.509988901220866,
FC,57069.0,89.71106145838809,8.179784448767151,1.2456239373170432,2415.926440374383,-0.9141701277535356,5.824954699192121,6.368195922374349,14.30800000000002,28150,6352,30634,26429,7139,0.3479780053295301,0.07582136826288036,0.22564831261101242,0.536788799523384,0.2701199440009081,-0.025071404790692003,
FF,240450.0,94.50147403796562,15.821752541301345,-3.467433606230032,2321.07115901841,-0.8119691965993978,5.8257460029613855,6.503752548154928,90.02400000000007,117467,25433,135662,104766,24965,0.34348088643753716,0.3194597416953089,0.2165118714192071,0.5642004574755667,0.23829295763892866,-0.03743980037429823,
FO,542.0,82.509963099631,0.6732841328413285,-9.943173431734317,1192.6236162361624,-2.1017343173431735,5.9365498154981555,6.309409594095941,-8.028,294,123,149,393,180,0.20767683040935672,0.0007200964025737467,0.41836734693877553,0.27490774907749077,0.4580152671755725,1.4811808118081182,
FS,25479.0,86.47677723258096,3.2290056918547596,-9.24604828263003,1341.2385494678754,-1.4825519136408245,5.776883218842002,6.557478305257784,-21.222999999999995,13175,4553,9806,15669,5419,0.25488253559964985,0.0338511738767094,0.3455787476280835,0.38486596805212137,0.3458421086221201,0.0832960477255779,
KC,12573.0,82.92679977726513,-9.485727467981864,5.229827380478881,2495.581020733652,-1.0269588735979636,5.917444912894758,6.358803405203278,24.583,5688,2080,5147,7424,2499,0.262296287609188,0.0167043765121028,0.3656821378340366,0.4093692833850314,0.33661099137931033,-0.19552215064026088,
KN,139.0,73.0726618705036,1.1680575539568345,-0.8425899280575538,356.6474820143885,-0.857841726618705,5.904388489208634,5.9352517985611515,2.076,50,8,52,87,14,0.32498165714285715,0.00018467416966374688,0.16,0.37410071942446044,0.16091954022988506,-1.493525179856115,
PO,57.0,90.8719298245614,13.913684210526316,-6.48421052631579,2247.7368421052633,-1.6310526315789473,5.888070175438597,6.201754385964913,1.153,0,0,1,56,0,,7.572969547362282e-05,,0.017543859649122806,0.0,-2.02280701754386,
SC,7.0,85.81428571428572,2.6571428571428575,-11.897142857142857,1386.142857142857,-2.2614285714285716,5.437142857142858,5.771428571428571,0.294,3,0,4,3,0,0.23933333333333331,9.300138040620346e-06,0.0,0.5714285714285714,0.0,-4.199999999999999,
SI,116485.0,93.81541110004466,7.45395964626084,-6.2734332305737075,2189.2727335312593,-0.7587143470421568,5.635967974585729,6.397339470814047,-228.40199999999993,52959,7334,67370,49100,12155,0.34480459675122965,0.15476093995166584,0.13848448800015106,0.5783577284628922,0.2475560081466395,0.1960784650384169,
SL,111793.0,86.11871734774206,1.821604165175696,2.27629106133257,2433.3162499775653,-0.7622606992056108,5.813623506047377,6.4097763938474746,-163.005,54741,18126,52272,59512,18950,0.2906949427642633,0.14852719028215292,0.33112292431632595,0.4675784709239398,0.3184231751579513,0.1458096660792715,
ST,52158.0,82.49618017603406,1.0571247770810561,6.705355463877962,2596.2653786321994,-0.879958580222056,5.501685171335979,6.350093984962406,-2.203999999999995,23591,7455,23585,28564,8588,0.26806992562984494,0.06929665713181085,0.31601034292738756,0.45218374937689326,0.3006581711244924,0.00422562214808849,
SV,3747.0,81.87133706965574,-5.049671737389912,5.342289831865493,2569.479316786763,-0.8593194555644516,5.6235895382973045,6.151801441152922,8.904,1620,523,1598,2149,639,0.26821194612794613,0.004978231034029205,0.3228395061728395,0.42647451294368827,0.2973476035365286,-0.23763010408326662,
UN,1.0,90.9,9.959999999999999,-8.16,2257.0,-2.24,5.3,6.7,0.0,1,0,1,0,0,,1.3285911486600493e-06,0.0,1.0,,-0.0,
All,752677.0,89.3857114384495,6.896477669531385,-1.5640420428162674,2275.799275648992,-0.8076369511721969,5.76963523978082,6.427129880054492,137.6880000000001,366702,92860,380690,371914,105002,0.31561270448651185,1.0,0.2532301432771024,0.5057813643833942,0.2823287104007916,-0.0182931058076705,all
